id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento
45,Andrés Martínez Reyes,andres.martinez.reyes3@seguro.sv,,23/10/2006,La Libertad,Premium
46,Daniela Santos Reyes,daniela.santos.reyes4@seguro.sv,M,1/1/1949,La Libertad,Premium
47,Andrés Pérez García,andres.perez.garcia5@example.com,femenino,2/13/1982,La Libertad,REGULAR
48,Fernanda Morales Reyes,fernanda.morales.reyes6@seguro.sv,Hombre,3/25/1996,Sonsonate,PREMIUM
49,Carlos Cruz García,carlos.cruz.garcia0@mail.com,,7/12/1978,San Miguel,VIP
50,Marta Martínez Castillo,marta.martinez.castillo1@correo.com,Masculino,2/28/1972, La Libertad ,Premium
51,Carmen Gómez García,carmen.gomez.garcia2@gmail.com,m,5/9/1994, La Libertad ,Premium
52,Diego Chávez Flores,diego.chavez.flores3@mail.com,,3/25/1981,sonsonate,vip
53,Paula Vásquez Santos,paula.vasquez.santos4@seguro.sv,Female,2/11/1966,san miguel,Pyme
54,Ricardo Hernández Cruz,ricardo.hernandez.cruz5@gmail.com,Female,3/19/1974,SanSalvador,Regular
55,Ana Santos Martínez,ana.santos.martinez6@example.com,Masculino,5/27/1994,san miguel,PREMIUM
56,Karla Flores Pérez,karla.flores.perez0@mail.com,Female,12/5/1996, San Salvador ,REGULAR
57,Luis García Castillo,luis.garcia.castillo1@correo.com,Masculino,23/04/1969,Sonso,
58,Daniela Flores Gómez,daniela.flores.gomez2@seguro.sv,Female,1/20/1963,SanSalvador,vip
59,Luis Cruz Morales,luis.cruz.morales3@mail.com,,3/7/2012, San Miguel ,vip
60,Paula Vásquez Flores,paula.vasquez.flores4@example.com,M,10/6/1992,La Libertad,
61,Fernanda Reyes Torres,fernanda.reyes.torres5@seguro.sv,Female,10/11/1959,San salvador,VIP
62,Juan Castillo Aguilar,juan.castillo.aguilar6@gmail.com,Fem,2/6/1950,L. Libertad,
63,Andrés Santos Pérez,andres.santos.perez0@seguro.sv,Mujer,21-03-1977,San Miguel,REGULAR
64,Sofía Chávez Chávez,sofia.chavez.chavez1@mail.com,m,3/7/1961,Sonso,VIP
65,Lucía Flores Ramírez,lucia.flores.ramirez2@seguro.sv,M,16/12/1950,Sonsonate,VIP
66,Marta Cruz Pérez,marta.cruz.perez3@mail.com,Hombre,8/8/2010,sonsonate,PREMIUM
67,Marta Pérez Torres,marta.perez.torres4@correo.com,Fem,4/2/1940,san miguel,vip
68,Ana Pérez López,ana.perez.lopez5@correo.com,Mujer,2/20/1972,San salvador,Regular
69,Juan Pérez Rojas,juan.perez.rojas6@mail.com,,13-03-1987, San Miguel ,
70,José Chávez Mendoza,jose.chavez.mendoza0@mail.com,m,11/16/1959,SanMiguel,VIP
71,Juan Aguilar Morales,juan.aguilar.morales1@seguro.sv,,3/30/1978,SS,
72,Luis García Pérez,luis.garcia.perez2@gmail.com,Hombre,9/2/1964, La Libertad ,
73,Carlos Chávez Mendoza,carlos.chavez.mendoza3@mail.com,m,4/25/1994,SantaAna,PYME
74,Diego Rojas Reyes,diego.rojas.reyes4@mail.com,femenino,7/9/1980,S. Miguel,REGULAR
75,Luis Aguilar García,luis.aguilar.garcia5@mail.com,,3/8/1948,san miguel,
76,Juan Santos Ortiz,juan.santos.ortiz6@mail.com,,5/23/1990,La Libertad,Regular
77,Karla Castillo Vásquez,karla.castillo.vasquez0@correo.com,Fem,17-04-1949,Santa Ana,REGULAR
78,Fernanda Vásquez Hernández,fernanda.vasquez.hernandez1@correo.com,,6/1/2008, Sonsonate,
79,Ana Torres Flores,ana.torres.flores2@example.com,femenino,8/6/1942,San salvador,Premium
80,Jorge Morales García,jorge.morales.garcia3@mail.com,M,9/22/1952,SantaAna,Pyme
81,Paula Reyes Gómez,paula.reyes.gomez4@example.com,Mujer,3/13/1973,San Salvador,Premium
82,Carmen Torres Martínez,carmen.torres.martinez5@seguro.sv,m,18-06-2000, La Libertad ,PYME
83,Andrés Flores Ramírez,andres.flores.ramirez6@example.com,,9/23/2007, San Miguel ,PYME
84,Daniela Castillo Martínez,daniela.castillo.martinez0@gmail.com,F,10/13/1959,Sta. Ana,PREMIUM
85,Luis Flores Castillo,luis.flores.castillo1@seguro.sv,,8/6/1969,SantaAna,
86,Diego Mendoza Ortiz,diego.mendoza.ortiz2@mail.com,,12/7/1999,La Libertad,PYME
87,María Reyes Santos,maria.reyes.santos3@seguro.sv,Female,7/6/1978,La Libertad,REGULAR
88,Carmen Torres Chávez,carmen.torres.chavez4@mail.com,,11/13/2001,SantaAna,
89,Lucía Mendoza García,lucia.mendoza.garcia5@example.com,Masculino,7/4/1975,Santa Ana,
90,José Mendoza Mendoza,jose.mendoza.mendoza6@example.com,femenino,24/05/1957,Santa Ana,Premium
91,Valeria Ramírez Gómez,valeria.ramirez.gomez0@mail.com,Fem,16-01-1994, La Libertad ,
92,Paula Santos Torres,paula.santos.torres1@example.com,Fem,29-12-1968,SanSalvador,PYME
93,Carlos Flores Santos,carlos.flores.santos2@mail.com,Female,14-01-1945,La Libertad,VIP
94,Pedro Castillo García,pedro.castillo.garcia3@mail.com,Mujer,11/1/1997,Sonsonate ,PYME
95,Jorge Ortiz Martínez,jorge.ortiz.martinez4@gmail.com,m,6/5/1980, San Miguel ,PYME
96,Daniela Pérez Martínez,daniela.perez.martinez5@example.com,M,6/1/1980,Santa Ana,PREMIUM
97,Paula Chávez Mendoza,paula.chavez.mendoza6@example.com,femenino,11/24/1986,LaLibertad,REGULAR
98,Karla Martínez Reyes,karla.martinez.reyes0@gmail.com,m,29-11-1945,S. Miguel,
99,Luis Reyes García,luis.reyes.garcia1@example.com,Female,12/4/1992, Santa Ana ,vip
100,Carlos Ortiz Morales,carlos.ortiz.morales2@correo.com,m,9/23/1997,SanSalvador,
101,Pedro López Vásquez,pedro.lopez.vasquez3@correo.com,femenino,16-09-1967,santa ana,Premium
102,Luis García Castillo,luis.garcia.castillo4@gmail.com,Hombre,9/15/2010, San Miguel ,Premium
103,Karla Morales Pérez,karla.morales.perez5@gmail.com,Fem,22-07-1954,SanSalvador,REGULAR
104,Diego Chávez Torres,diego.chavez.torres6@seguro.sv,Masculino,7/24/1965,Sta. Ana,PYME
105,Sofía Vásquez Santos,sofia.vasquez.santos0@example.com,,7/12/1979,Sonsonate ,Premium
106,Sofía Torres Pérez,sofia.torres.perez1@seguro.sv,femenino,6/6/1962, San Salvador ,vip
107,Carlos García Gómez,carlos.garcia.gomez2@gmail.com,Fem,21-06-1964,San salvador,PYME
108,Pedro López Rojas,pedro.lopez.rojas3@example.com,Masculino,11/10/1944,SS,PREMIUM
109,Ana Reyes Hernández,ana.reyes.hernandez4@correo.com,Fem,2/13/2004,SanMiguel,Premium
110,Ricardo Chávez Torres,ricardo.chavez.torres5@mail.com,Female,21/06/1940, Santa Ana ,
111,Daniela Rojas Hernández,daniela.rojas.hernandez6@example.com,M,8/19/2009,SantaAna,
112,Paula García Hernández,paula.garcia.hernandez0@mail.com,m,11/3/1984,sonsonate,Premium
113,Carlos Rojas López,carlos.rojas.lopez1@gmail.com,,27/02/1995, San Salvador ,REGULAR
114,María Mendoza Ortiz,maria.mendoza.ortiz2@gmail.com,Hombre,7/7/1985,LaLibertad,VIP
115,Lucía Vásquez Flores,lucia.vasquez.flores3@mail.com,femenino,17/01/2007, San Salvador ,REGULAR
116,Luis Martínez Vásquez,luis.martinez.vasquez4@correo.com,m,25-12-1988,la libertad,Premium
117,María Chávez Martínez,maria.chavez.martinez5@correo.com,F,4/29/1966, San Miguel ,Pyme
118,Fernanda Aguilar Flores,fernanda.aguilar.flores6@correo.com,Female,4/14/1943,SS,Regular
119,José Vásquez Rojas,jose.vasquez.rojas0@seguro.sv,femenino,20/11/1975,LaLibertad,REGULAR
120,Daniela Flores García,daniela.flores.garcia1@seguro.sv,Mujer,25/03/2005,Sonso,REGULAR
121,José García Reyes,jose.garcia.reyes2@seguro.sv,Mujer,18-04-1999,SantaAna,REGULAR
122,Paula Martínez Vásquez,paula.martinez.vasquez3@example.com,m,2/28/1995,SanSalvador,REGULAR
123,Daniela Gómez López,daniela.gomez.lopez4@seguro.sv,F,22/10/1952,San salvador,REGULAR
124,Pedro Morales Santos,pedro.morales.santos5@seguro.sv,femenino,11/27/1942,La Libertad,
125,Luis Mendoza Vásquez,luis.mendoza.vasquez6@example.com,Masculino,9/16/1975,San salvador,PYME
126,Daniela Morales Ortiz,daniela.morales.ortiz0@example.com,,25/07/1950,Sonso,PYME
127,Sofía Hernández Pérez,sofia.hernandez.perez1@seguro.sv,M,8/23/1946,San Miguel,
128,Fernanda Castillo Castillo,fernanda.castillo.castillo2@correo.com,femenino,2/17/1954,Santa Ana,PREMIUM
129,Luis Cruz Aguilar,luis.cruz.aguilar3@gmail.com,femenino,11/5/1942,sonsonate,
130,María García Castillo,maria.garcia.castillo4@seguro.sv,Hombre,20-09-1975, La Libertad ,vip
131,Luis Reyes García,luis.reyes.garcia5@gmail.com,femenino,14/05/1980, Sonsonate,Premium
132,Luis Rojas Mendoza,luis.rojas.mendoza6@gmail.com,Fem,12/20/1944,santa ana,REGULAR
133,Diego Vásquez Mendoza,diego.vasquez.mendoza0@example.com,Masculino,6/25/1965,san miguel,Regular
134,Karla Ortiz García,karla.ortiz.garcia1@gmail.com,Mujer,1/2/1985, Santa Ana ,
135,Marta Santos Martínez,marta.santos.martinez2@gmail.com,Female,18/07/1942,Sonsonate ,
136,Ana Aguilar Ortiz,ana.aguilar.ortiz3@example.com,,26/12/1965,L. Libertad,PYME
137,María Martínez Gómez,maria.martinez.gomez4@seguro.sv,Masculino,6/9/1979,sonsonate,REGULAR
138,Marta Vásquez Morales,marta.vasquez.morales5@gmail.com,Hombre,9/24/1951,san miguel,PYME
139,José Flores Chávez,jose.flores.chavez6@mail.com,Female,29-03-1962,Sonsonate ,PREMIUM
140,Carmen Reyes Santos,carmen.reyes.santos0@correo.com,,9/10/2004,LaLibertad,Regular
141,Ricardo López García,ricardo.lopez.garcia1@correo.com,Masculino,4/12/1975,San Miguel,VIP
142,Carlos Aguilar Torres,carlos.aguilar.torres2@example.com,Hombre,9/11/1998,SanSalvador,Premium
143,Valeria Vásquez Morales,valeria.vasquez.morales3@mail.com,Mujer,10/30/1972,Sta. Ana,
144,Carlos García Morales,carlos.garcia.morales4@gmail.com,Female,3/28/1985,Sonsonate,Premium
145,José Morales Vásquez,jose.morales.vasquez5@gmail.com,femenino,25/04/2011, Santa Ana ,
146,Lucía Mendoza Martínez,lucia.mendoza.martinez6@example.com,,1/24/1944,la libertad,
147,Daniela Pérez Reyes,daniela.perez.reyes0@seguro.sv,Mujer,1/1/1995,Sonso,
148,Daniela Ortiz Aguilar,daniela.ortiz.aguilar1@seguro.sv,F,8/1/2003,San Miguel,Pyme
149,Jorge Castillo López,jorge.castillo.lopez2@gmail.com,Mujer,20/07/1993, San Salvador ,PYME
150,Carmen Mendoza Torres,carmen.mendoza.torres3@correo.com,m,29/06/2009, San Salvador ,vip
151,Sofía López Chávez,sofia.lopez.chavez4@seguro.sv,Masculino,22-02-1968, Sonsonate,PYME
152,Juan Pérez Mendoza,juan.perez.mendoza5@seguro.sv,Hombre,8/8/1958,san miguel,PYME
153,Fernanda Reyes Ortiz,fernanda.reyes.ortiz6@example.com,Mujer,14-10-1971,santa ana,Regular
154,Fernanda Castillo Cruz,fernanda.castillo.cruz0@correo.com,,9/13/1966,L. Libertad,
155,Valeria Castillo Hernández,valeria.castillo.hernandez1@seguro.sv,,6/13/1991,Sta. Ana,VIP
156,Carlos García Vásquez,carlos.garcia.vasquez2@seguro.sv,Masculino,8/9/1979,Sonso,
157,Valeria Pérez Hernández,valeria.perez.hernandez3@correo.com,Masculino,3/27/1995,sonsonate,PREMIUM
158,Juan Hernández Rojas,juan.hernandez.rojas4@mail.com,m,19/08/1969, San Salvador ,Premium
159,Andrés Aguilar Aguilar,andres.aguilar.aguilar5@example.com,femenino,5/12/1998,San Salvador,
160,Diego Ortiz Martínez,diego.ortiz.martinez6@correo.com,F,15-09-1955,la libertad,Regular
161,Juan López Castillo,juan.lopez.castillo0@example.com,Female,14-12-1990, Sonsonate,PYME
162,Luis Mendoza Chávez,luis.mendoza.chavez1@mail.com,femenino,23/06/1964,L. Libertad,Premium
163,Ana Reyes Castillo,ana.reyes.castillo2@correo.com,Fem,12/9/1990,LaLibertad,
164,Marta García Morales,marta.garcia.morales3@correo.com,,1/16/2000,Santa Ana,Regular
165,Lucía Cruz Chávez,lucia.cruz.chavez4@example.com,Female,8/16/2007,Sonsonate,Regular
166,Pedro Cruz Martínez,pedro.cruz.martinez5@example.com,Fem,29-11-1999,Sonso,vip
167,Carlos Vásquez Torres,carlos.vasquez.torres6@correo.com,,24/10/1959, La Libertad ,REGULAR
168,Andrés Ortiz Aguilar,andres.ortiz.aguilar0@correo.com,Masculino,12/11/2007, San Salvador ,PYME
169,Daniela Vásquez García,daniela.vasquez.garcia1@gmail.com,Hombre,12/8/1990, Sonsonate,Premium
170,Carmen Reyes Mendoza,carmen.reyes.mendoza2@correo.com,Mujer,22-08-1979, San Salvador ,PYME
171,Juan Chávez Pérez,juan.chavez.perez3@gmail.com,F,1/17/1986,L. Libertad,VIP
172,Lucía Flores López,lucia.flores.lopez4@mail.com,F,28-11-2006,San Miguel,
173,Juan García Aguilar,juan.garcia.aguilar5@correo.com,Fem,5/11/1942,SanMiguel,PYME
174,Lucía Morales García,lucia.morales.garcia6@gmail.com,Fem,4/1/2001,San salvador,
175,Lucía Mendoza Pérez,lucia.mendoza.perez0@mail.com,F,4/19/2005, La Libertad ,Pyme
176,Fernanda Morales Cruz,fernanda.morales.cruz1@correo.com,Female,16/03/1962,San Salvador,Pyme
177,Karla López Cruz,karla.lopez.cruz2@gmail.com,F,27-06-1958,Sonsonate,PREMIUM
178,Juan Morales Chávez,juan.morales.chavez3@mail.com,Fem,1/8/1961,san miguel,
179,Marta Santos Torres,marta.santos.torres4@example.com,Masculino,4/22/2009, Santa Ana ,PREMIUM
180,Andrés Castillo Flores,andres.castillo.flores5@gmail.com,Fem,20-06-1945,Sonsonate ,VIP
181,Pedro Morales Mendoza,pedro.morales.mendoza6@seguro.sv,Fem,8/5/1968,la libertad,
182,Ricardo Cruz Cruz,ricardo.cruz.cruz0@correo.com,,12/24/1966,Sonsonate ,Pyme
183,Fernanda Mendoza Pérez,fernanda.mendoza.perez1@correo.com,femenino,11/5/1974,L. Libertad,vip
184,Fernanda Ramírez Martínez,fernanda.ramirez.martinez2@gmail.com,Mujer,1/31/1964,San salvador,
185,Fernanda Ramírez Aguilar,fernanda.ramirez.aguilar3@example.com,Female,9/27/1958,santa ana,vip
186,Ricardo Cruz Torres,ricardo.cruz.torres4@correo.com,Hombre,2/20/2003,SanMiguel,PYME
187,Fernanda Vásquez Castillo,fernanda.vasquez.castillo5@seguro.sv,,6/19/1963,L. Libertad,PREMIUM
188,Pedro Reyes Rojas,pedro.reyes.rojas6@correo.com,Fem,2/7/1944, San Miguel ,
189,Jorge Rojas Castillo,jorge.rojas.castillo0@correo.com,,9/3/1953,SantaAna,
190,Marta Flores Aguilar,marta.flores.aguilar1@seguro.sv,,29/11/2004,san miguel,Premium
191,Fernanda Aguilar Gómez,fernanda.aguilar.gomez2@mail.com,Hombre,8/20/1988,San Salvador,VIP
192,Andrés Pérez Cruz,andres.perez.cruz3@mail.com,Masculino,2/5/1946,L. Libertad,VIP
193,Karla Torres Aguilar,karla.torres.aguilar4@mail.com,Hombre,2/23/1999,La Libertad,VIP
194,Daniela Flores Ortiz,daniela.flores.ortiz5@seguro.sv,Fem,9/20/1965, San Salvador ,Premium
195,Diego Ramírez Torres,diego.ramirez.torres6@example.com,Female,25-03-1987,SS,Pyme
196,Paula Santos Cruz,paula.santos.cruz0@mail.com,m,7/21/2002,SanSalvador,Pyme
197,Lucía Ortiz Aguilar,lucia.ortiz.aguilar1@correo.com,M,12/1/1945,L. Libertad,
198,José Mendoza Martínez,jose.mendoza.martinez2@gmail.com,,8/11/1960,San Salvador,Regular
199,Fernanda Santos Martínez,fernanda.santos.martinez3@example.com,F,3/2/1956,sonsonate,Pyme
200,María Castillo Gómez,maria.castillo.gomez4@seguro.sv,m,8/5/1990,SanMiguel,Premium
201,María Mendoza Vásquez,maria.mendoza.vasquez5@correo.com,M,10/25/1944, Sonsonate,
202,Lucía Reyes López,lucia.reyes.lopez6@seguro.sv,,20/11/1996, San Miguel ,Pyme
203,Andrés Gómez Santos,andres.gomez.santos0@gmail.com,Female,9/4/1999,San Salvador,Regular
204,Luis Morales Pérez,luis.morales.perez1@example.com,M,5/11/2006,SS,PYME
205,Pedro Flores Hernández,pedro.flores.hernandez2@seguro.sv,,11/20/1951, Sonsonate,Pyme
206,José López García,jose.lopez.garcia3@gmail.com,Mujer,10/2/1971,La Libertad,Regular
207,Andrés Morales García,andres.morales.garcia4@correo.com,Mujer,1/10/2005,SantaAna,Premium
208,Luis Flores Castillo,luis.flores.castillo5@mail.com,Fem,30-01-1964,SanMiguel,Regular
209,Ricardo García Vásquez,ricardo.garcia.vasquez6@seguro.sv,Mujer,7/31/1962,SantaAna,vip
210,Luis Castillo López,luis.castillo.lopez0@gmail.com,,7/2/1975,L. Libertad,Pyme
211,Karla Pérez Castillo,karla.perez.castillo1@correo.com,,10/7/1968,SantaAna,REGULAR
212,Carlos Aguilar Santos,carlos.aguilar.santos2@seguro.sv,Female,25-02-2010,San Miguel,
213,Sofía Santos Ortiz,sofia.santos.ortiz3@gmail.com,F,21-02-1956,SantaAna,Regular
214,María Rojas Aguilar,maria.rojas.aguilar4@correo.com,Female,26/06/1952,LaLibertad,vip
215,Paula Torres Aguilar,paula.torres.aguilar5@gmail.com,,3/26/1992,SS,
216,Karla García Hernández,karla.garcia.hernandez6@example.com,Fem,12/26/2008, San Salvador ,Pyme
217,Marta Rojas Hernández,marta.rojas.hernandez0@correo.com,Hombre,12/11/1940, Sonsonate,
218,Diego Chávez Vásquez,diego.chavez.vasquez1@gmail.com,Hombre,2/2/1975,San Miguel,PYME
219,José Castillo Rojas,jose.castillo.rojas2@correo.com,femenino,9/14/1947,SanMiguel,PREMIUM
220,Daniela Aguilar Vásquez,daniela.aguilar.vasquez3@seguro.sv,femenino,9/19/1982,San Miguel,vip
221,Ana Reyes Hernández,ana.reyes.hernandez4@correo.com,Hombre,30/09/2000,sonsonate,REGULAR
222,Fernanda Rojas Chávez,fernanda.rojas.chavez5@correo.com,Fem,19-10-1960,La Libertad,
223,Sofía Chávez Santos,sofia.chavez.santos6@correo.com,Masculino,7/15/1978, San Salvador ,vip
224,Fernanda Gómez Vásquez,fernanda.gomez.vasquez0@mail.com,Female,30-03-1969,Sonso,
225,Lucía Torres Morales,lucia.torres.morales1@example.com,,8/29/1992,Sta. Ana,
226,Jorge García Pérez,jorge.garcia.perez2@example.com,M,5/2/1968,san miguel,
227,Lucía Rojas Torres,lucia.rojas.torres3@seguro.sv,Fem,14-05-1952,sonsonate,
228,Carmen Aguilar Castillo,carmen.aguilar.castillo4@seguro.sv,Mujer,8/2/1952,San Miguel,PYME
229,Luis Ramírez Morales,luis.ramirez.morales5@seguro.sv,,19-05-1990,LaLibertad,PYME
230,Carmen García Santos,carmen.garcia.santos6@correo.com,Female,10/8/1942,san miguel,
231,Carlos Gómez Chávez,carlos.gomez.chavez0@seguro.sv,Hombre,9/30/1990, San Salvador ,vip
232,Valeria Ortiz Vásquez,valeria.ortiz.vasquez1@mail.com,,8/17/1988,SantaAna,vip
233,Diego Castillo Martínez,diego.castillo.martinez2@mail.com,,5/6/1980,santa ana,
234,Pedro Torres Rojas,pedro.torres.rojas3@correo.com,Masculino,11/21/1954,Sonso,
235,Valeria Torres Ortiz,valeria.torres.ortiz4@example.com,Female,2/8/1955, San Miguel ,vip
236,Luis Rojas Martínez,luis.rojas.martinez5@correo.com,Fem,17/11/1964,Sta. Ana,PREMIUM
237,Lucía Aguilar Pérez,lucia.aguilar.perez6@seguro.sv,,21-10-1991,San Salvador,Pyme
238,Daniela Flores Vásquez,daniela.flores.vasquez0@example.com,Mujer,10/16/1980,SanSalvador,REGULAR
239,María Ortiz Morales,maria.ortiz.morales1@correo.com,,7/17/1959,S. Miguel,REGULAR
240,Fernanda Santos Pérez,fernanda.santos.perez2@example.com,m,10/16/1990,San Salvador,PYME
241,Ana Hernández Gómez,ana.hernandez.gomez3@seguro.sv,Masculino,4/8/1979,san miguel,Regular
242,María Vásquez Flores,maria.vasquez.flores4@correo.com,F,24-05-1947,san miguel,Pyme
243,María Hernández López,maria.hernandez.lopez5@correo.com,Mujer,23/02/1959,Sonsonate ,VIP
244,Ana Reyes Hernández,ana.reyes.hernandez6@seguro.sv,M,20/11/1977,La Libertad,vip
245,José Reyes Vásquez,jose.reyes.vasquez0@correo.com,m,5/11/1966, San Salvador ,
246,Ana Torres Gómez,ana.torres.gomez1@correo.com,m,26/06/1979, La Libertad ,PYME
247,Sofía García Hernández,sofia.garcia.hernandez2@gmail.com,,7/23/1952,L. Libertad,Premium
248,Diego Flores García,diego.flores.garcia3@gmail.com,Mujer,4/6/1962,SS,PREMIUM
249,Daniela Torres Mendoza,daniela.torres.mendoza4@example.com,m,12/3/1956,SantaAna,Pyme
250,José Cruz Aguilar,jose.cruz.aguilar5@gmail.com,F,3/30/1997,san miguel,Pyme
251,Jorge Rojas Vásquez,jorge.rojas.vasquez6@seguro.sv,M,1/6/1989,Sonsonate,VIP
252,Valeria Ramírez Martínez,valeria.ramirez.martinez0@seguro.sv,Hombre,6/4/1945,Sonsonate ,Pyme
253,Lucía García Ortiz,lucia.garcia.ortiz1@example.com,M,3/26/1988, San Salvador ,PREMIUM
254,Luis Ortiz Reyes,luis.ortiz.reyes2@mail.com,Female,20-01-1975,Santa Ana,PREMIUM
255,María Rojas Hernández,maria.rojas.hernandez3@mail.com,Female,3/9/1980,San Salvador,Premium
256,Ana Gómez Aguilar,ana.gomez.aguilar4@example.com,Fem,2/7/1971,Sta. Ana,vip
257,Ana Reyes Rojas,ana.reyes.rojas5@example.com,Mujer,5/26/1964,LaLibertad,
258,Pedro Martínez Aguilar,pedro.martinez.aguilar6@correo.com,Female,11/9/1990,Sonsonate,PREMIUM
259,Daniela López Martínez,daniela.lopez.martinez0@seguro.sv,femenino,6/2/1941,santa ana,VIP
260,Fernanda Rojas Cruz,fernanda.rojas.cruz1@example.com,Female,11/13/1968,Sonso,vip
261,Daniela Martínez Gómez,daniela.martinez.gomez2@mail.com,,1/9/1960,L. Libertad,Regular
262,Marta García Ortiz,marta.garcia.ortiz3@gmail.com,Female,4/10/2030,SantaAna,REGULAR
263,Jorge Aguilar Ramírez,jorge.aguilar.ramirez4@correo.com,Fem,9/17/2005,La Libertad,PREMIUM
264,Fernanda Vásquez López,fernanda.vasquez.lopez5@example.com,M,13/11/2030,sonsonate,Pyme
265,Ricardo Martínez Pérez,ricardo.martinez.perez6@mail.com,Masculino,11/5/2003,L. Libertad,PYME
266,María Santos Hernández,maria.santos.hernandez0@seguro.sv,M,5/5/1985,Sonsonate,Pyme
